Entreprise.utilisatrice;secteur;taille;catégorie;n
SARL ESPACES VERTS ET ENVIRONNEMENT;Services d'aménagement paysager;20 à 49 salariés;Petite ou Moyenne Entreprise (PME);14
GTOI TP NORD;Construction de routes et autoroutes;500 à 999 salariés;Grande Entreprise (GE);8
S2R SOCIETE REUNIONNAISE DE RENOVATION ;Travaux de maçonnerie générale et gros œuvre de bâtiment;100 à 199 salariés;Grande Entreprise (GE);7
MENUIRUN;Travaux de menuiserie métallique et serrurerie;20 à 49 salariés;Petite ou Moyenne Entreprise (PME);3
SBTPC SOGEA REUNION;Travaux de maçonnerie générale et gros œuvre de bâtiment;500 à 999 salariés;Grande Entreprise (GE);3
BUFFI SOC AMENAGEMENT TRAVAUX PAYSAGERS (BUFFI SAT;Travaux de construction spécialisés en génie civil ;20 à 49 salariés;Petite ou Moyenne Entreprise (PME);2
DECO DESIGN; Travaux de peinture et vitrerie;10 à 19 salariés;Petite ou Moyenne Entreprise (PME);2
BATIPROD;Travaux de peinture et vitrerie;20 et 49 salariés;Petite ou Moyenne Entreprise (PME);1
POUJOIS JEAN (ELSAT / NETTOYAGE ASSISTANCE);Travaux d'installation électrique dans tous locaux;1 à 9 salariés;TPE;1
