Entreprise utilisatrice;secteur;taille;catégorie;n
SUD TERRASSEMENT;Travaux de démolition;20 à 49 salariés;Petite ou Moyenne Entreprise (PME);13
S2R SOCIETE REUNIONNAISE DE RENOVATION ;Travaux de maçonnerie générale et gros œuvre de bâtiment;100 à 199 salariés;Grande Entreprise (GE);12
BUFFI SOC AMENAGEMENT TRAVAUX PAYSAGERS (BUFFI SAT;Travaux de construction spécialisés en génie civil ;20 à 49 salariés;Petite ou Moyenne Entreprise (PME);6
MENUIRUN;Travaux de menuiserie métallique et serrurerie;20 à 49 salariés;Petite ou Moyenne Entreprise (PME);2
BATIPROD;Travaux de peinture et vitrerie;"	Entre 20 et 49 salariés";Petite ou Moyenne Entreprise (PME);1
GROUPE ELAN SARL;Ingénierie, études techniques;10 à 19 salariés;Petite ou Moyenne Entreprise (PME);1
L J K RENOVATION;Travaux de menuiserie bois et PVC;Entre 10 et 19 salariés;Petite ou Moyenne Entreprise (PME);1
LA MARE ESPACES VERTS SA;Services d'aménagement paysager;Entre 20 et 49 salariés;Petite ou Moyenne Entreprise (PME);1
Olivier ANAMOUTOU;Construction d'autres bâtiments;Entre 3 et 5 salariés;TPE;1
RUN AMENAGEMENT DE L'EST (R A E);Travaux de terrassement courants et travaux préparatoires;10 à 19 salariés;Petite ou Moyenne Entreprise (PME);1
T2C TRAVAUX CHARPENTE COUVERTURE (T2C);Travaux de charpente ;3 à 5 salariés;TPE;1
UNIVERTDURABLE;Services d'aménagement paysager;Entre 6 et 9 salariés;TPE;1
ZARLOR;Construction d'autres bâtiments;Entre 6 et 9 salariés;TPE;1
